dataset,model,subset,regime,reply_set,reply_set_id,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
thread,Llama3-70B,clinton,zero-shot,overall,3,0.863159756,0.86362767,0.809402201,0.914743088,0.86,0.860031333,0.806666667,0.913333333,0.87284802,0.875836336,0.823246292,0.921995477
thread,Llama3-70B,clinton,zero-shot,overall,4,0.855128205,0.855597974,0.784498244,0.919473661,0.85,0.849227,0.78,0.91,0.870535714,0.874333285,0.807236342,0.932403653
thread,Llama3-70B,clinton,zero-shot,overall,5,0.821249309,0.821804868,0.705690649,0.920571429,0.82,0.820406,0.7,0.92,0.823290043,0.833430048,0.71638651,0.929528139
thread,Llama3-70B,trump,zero-shot,overall,overall,0.856359737,0.856398588,0.834748261,0.877153294,0.856190476,0.856224476,0.834285714,0.877142857,0.856569942,0.856990721,0.83542952,0.877807311
thread,Llama3-70B,trump,zero-shot,0,overall,0.821834897,0.822525,0.710885782,0.921000067,0.82,0.820202,0.7,0.92,0.830735931,0.840317021,0.732141508,0.930947368
thread,Llama3-70B,trump,zero-shot,0,0,0.821834897,0.82246948,0.710359809,0.920125666,0.82,0.8202,0.7,0.92,0.830735931,0.839892306,0.732580075,0.929
thread,Llama3-70B,trump,zero-shot,1,overall,0.859959596,0.860119305,0.786791737,0.921621369,0.86,0.860252,0.79,0.92,0.868377193,0.872145621,0.80765434,0.929812163
thread,Llama3-70B,trump,zero-shot,1,0,0.86263285,0.862962884,0.761254916,0.943016881,0.86,0.86008,0.76,0.94,0.881070234,0.887634503,0.81228727,0.956363636
thread,Llama3-70B,trump,zero-shot,1,1,0.857286713,0.856136444,0.748181296,0.940981441,0.86,0.860084,0.76,0.94,0.861490196,0.868630143,0.768567669,0.946428571
thread,Llama3-70B,trump,zero-shot,2,overall,0.88075323,0.880891195,0.827790695,0.927829553,0.88,0.880152667,0.826666667,0.926666667,0.883329058,0.885662639,0.834918854,0.931893845
thread,Llama3-70B,trump,zero-shot,2,0,0.821735725,0.821983747,0.7088329,0.920549132,0.82,0.819896,0.7,0.92,0.832,0.840410542,0.740250583,0.928
thread,Llama3-70B,trump,zero-shot,2,1,0.916934866,0.915584424,0.825331016,0.980399728,0.92,0.919426,0.84,0.98,0.919,0.922421842,0.836765152,0.982222222
thread,Llama3-70B,trump,zero-shot,2,2,0.901259755,0.902281639,0.816174079,0.979814172,0.9,0.899848,0.82,0.98,0.90836039,0.9152379,0.836292919,0.980689655
thread,Llama3-70B,trump,zero-shot,3,overall,0.879006604,0.879112147,0.831685417,0.92410611,0.88,0.88014,0.835,0.925,0.879820666,0.881633808,0.835010247,0.924917151
thread,Llama3-70B,trump,zero-shot,3,0,0.920379404,0.921396227,0.840698617,0.98019088,0.92,0.920884,0.84,0.98,0.921857143,0.927326039,0.851365686,0.981666667
thread,Llama3-70B,trump,zero-shot,3,1,0.83876715,0.837431728,0.725280431,0.938282849,0.84,0.8396,0.74,0.94,0.850239316,0.856336251,0.755777796,0.941429894
thread,Llama3-70B,trump,zero-shot,3,2,0.878246005,0.877355822,0.774042755,0.96,0.88,0.88025,0.78,0.96,0.893714286,0.899225234,0.819824412,0.964487805
