dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
semeval,Flan-T5,target,all,0.766521194,0.766453595,0.717804981,0.812843648,0.775811209,0.775869617,0.731563422,0.820058997,0.786934169,0.78810985,0.744676042,0.829117707
semeval,Flan-T5,stance,all,0.528786739,0.529112754,0.470877327,0.587317741,0.607669617,0.607941003,0.554572271,0.657817109,0.497879246,0.499241563,0.439740037,0.558367044
semeval,Flan-T5,joint,all,0.407864614,0.408287372,0.35076507,0.466459087,0.489675516,0.489883776,0.436578171,0.542772861,0.377138914,0.380289431,0.32152799,0.439819249
semeval,Mistral-7B,target,10,0.447363853,0.447364686,0.387758582,0.50647397,0.492625369,0.492692625,0.439528024,0.545722714,0.585318139,0.586631365,0.51331609,0.657863912
semeval,Mistral-7B,stance,10,0.281062456,0.280863913,0.231560555,0.331607842,0.286135693,0.285770501,0.238938053,0.336283186,0.352276737,0.354173238,0.287677281,0.424593768
semeval,Mistral-7B,joint,10,0.154812333,0.154981481,0.115622624,0.196628555,0.17699115,0.177154572,0.138643068,0.218289086,0.229821994,0.23177985,0.15318679,0.330965584
semeval,Mistral-7B,target,100,0.467639705,0.468872051,0.404374676,0.535345358,0.572271386,0.573146018,0.519174041,0.625368732,0.520495549,0.52346819,0.430116031,0.618373367
semeval,Mistral-7B,stance,100,0.484434318,0.484040596,0.429350886,0.540024171,0.501474926,0.501160472,0.448377581,0.554572271,0.477419469,0.479090174,0.422510104,0.53640592
semeval,Mistral-7B,joint,100,0.262367388,0.262250639,0.213243827,0.312376338,0.330383481,0.329962242,0.280235988,0.380530973,0.271346001,0.273725528,0.199113658,0.363655596
semeval,Mistral-7B,target,all,0.816922441,0.816871152,0.77496281,0.857789532,0.817109145,0.817051917,0.775811209,0.85840708,0.816793618,0.817661794,0.77535086,0.858252742
semeval,Mistral-7B,stance,all,0.638127004,0.638052333,0.586977601,0.689120183,0.637168142,0.637102655,0.587020649,0.687315634,0.640210466,0.642172987,0.590820019,0.693632423
semeval,Mistral-7B,joint,all,0.561272891,0.561109178,0.50786141,0.615238185,0.557522124,0.557346018,0.504424779,0.610619469,0.56683831,0.570802508,0.515465498,0.626094181
semeval,Gemma-7B,target,10,0.528927049,0.52896747,0.474420381,0.583024636,0.539823009,0.539797935,0.486725664,0.592920354,0.526300144,0.527728733,0.472994682,0.582408169
semeval,Gemma-7B,stance,10,0.366952541,0.367002627,0.314939258,0.420750237,0.365781711,0.365883776,0.315634218,0.418879056,0.386227611,0.388072795,0.328491548,0.448336068
semeval,Gemma-7B,joint,10,0.200182878,0.200132649,0.156717417,0.245827188,0.206489676,0.206584661,0.162241888,0.250737463,0.209377957,0.211449646,0.161019393,0.264431254
semeval,Gemma-7B,target,100,0.445627643,0.445801626,0.381848775,0.510757286,0.578171091,0.578151917,0.525073746,0.631268437,0.5242752,0.525449548,0.373752978,0.679532969
semeval,Gemma-7B,stance,100,0.511843555,0.511524987,0.453316575,0.568259109,0.539823009,0.539666667,0.486725664,0.592920354,0.513241778,0.515111982,0.455598369,0.573430742
semeval,Gemma-7B,joint,100,0.268505436,0.268338144,0.218082757,0.319915182,0.356932153,0.356721239,0.306784661,0.407079646,0.28060472,0.282479785,0.207621749,0.360040916
semeval,Gemma-7B,target,all,0.891007186,0.891309142,0.858212164,0.923303835,0.890855457,0.891160472,0.85840708,0.923303835,0.891300609,0.892166157,0.858629679,0.923303835
semeval,Gemma-7B,stance,all,0.782191875,0.782120303,0.736916526,0.82578344,0.781710914,0.78159056,0.737463127,0.825958702,0.784866317,0.786315731,0.740770287,0.828809301
semeval,Gemma-7B,joint,all,0.717653091,0.718013266,0.670156852,0.764561087,0.713864307,0.71409351,0.666666667,0.761061947,0.72604058,0.729686836,0.68208125,0.775761003
semeval,Llama3-8B,target,10,0.580601948,0.58075449,0.527138061,0.635808275,0.587020649,0.587211799,0.533923304,0.640117994,0.579115987,0.580688664,0.526309138,0.635859532
semeval,Llama3-8B,stance,10,0.445984816,0.446010964,0.392615769,0.499350791,0.448377581,0.448415929,0.398230088,0.501474926,0.444897535,0.446892113,0.39052035,0.50339759
